"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"284","DEFIANCE",2020-01-25,0.094792800223362,0.0034613396283577,252
"285","DELAWARE",2020-01-25,0.13098462461531,0.0026744109514927,616
"286","ERIE",2020-01-25,0.094114599780021,0.0025569249478675,483
"287","FAIRFIELD",2020-01-25,0.10477779975175,0.0021295366903982,651
"288","FAYETTE",2020-01-25,0.091873327054975,0.0040188711777994,182
"289","FRANKLIN",2020-01-25,0.091270254003267,0.00075279231789022,6194
"290","FULTON",2020-01-25,0.11393588897703,0.0039038764230563,217
"291","GALLIA",2020-01-25,0.10299567816661,0.0042307343140679,175
"292","GEAUGA",2020-01-25,0.11200978091793,0.0032212979090124,447
"293","GREENE",2020-01-25,0.1033822892963,0.0021187811439155,782
"294","GUERNSEY",2020-01-25,0.091246269923269,0.0031429515756695,245
"295","HAMILTON",2020-01-25,0.097405570053963,0.00088104177828575,4879
"296","HANCOCK",2020-01-25,0.10847270071341,0.0029748977970461,434
"297","HARDIN",2020-01-25,0.085048337059301,0.0033981293019304,196
"298","HARRISON",2020-01-25,0.081847979073074,0.0047790886680008,119
"299","HENRY",2020-01-25,0.10845923900898,0.0043877982105484,189
"300","HIGHLAND",2020-01-25,0.097763266304168,0.0035695628422571,245
"301","HOCKING",2020-01-25,0.088253616508763,0.0040893269246369,161
"302","HOLMES",2020-01-25,0.1165687987615,0.0048433481587548,161
"303","HURON",2020-01-25,0.085078666485654,0.0028059054897985,336
"304","JACKSON",2020-01-25,0.10124660824016,0.0040880331518791,210
"305","JEFFERSON",2020-01-25,0.082085624116463,0.0025481419273281,469
"306","KNOX",2020-01-25,0.10033798181621,0.003299402026834,322
"307","LAKE",2020-01-25,0.10844936022563,0.0018919279044866,1084
"308","LAWRENCE",2020-01-25,0.10298886803739,0.0030489146024996,399
"309","LICKING",2020-01-25,0.10563416864287,0.0021973570835654,784
"310","LOGAN",2020-01-25,0.10486248850246,0.00347908189991,273
"311","LORAIN",2020-01-25,0.089165005643173,0.0014735709319944,1414
"312","LUCAS",2020-01-25,0.089452097788803,0.0011121365241661,2777
"313","MADISON",2020-01-25,0.10986175366783,0.0038316122740691,196
"314","MAHONING",2020-01-25,0.084996427505889,0.0014110192314383,1512
"315","MARION",2020-01-25,0.087133050074511,0.0027781364762633,392
"316","MEDINA",2020-01-25,0.11051480915636,0.0020712596357494,770
"317","MEIGS",2020-01-25,0.092342417933214,0.0045571410729302,161
"318","MERCER",2020-01-25,0.1092570383123,0.003845432650469,231
"319","MIAMI",2020-01-25,0.10439045522872,0.0023784994147652,602
"320","MONROE",2020-01-25,0.085572675544882,0.0055072530458287,112
"321","MONTGOMERY",2020-01-25,0.089318170399545,0.0010141594677524,2919
"322","MORGAN",2020-01-25,0.084684164612773,0.0058885770261693,105
"323","MORROW",2020-01-25,0.095497856605403,0.0036909985919167,161
"324","MUSKINGUM",2020-01-25,0.10053665260808,0.0025272665497766,525
"325","NOBLE",2020-01-25,0.10142534445981,0.0071221156514432,84
"326","OTTAWA",2020-01-25,0.092981962202121,0.0031104055731011,301
"327","PAULDING",2020-01-25,0.10187450941981,0.0049622634331868,119
"328","PERRY",2020-01-25,0.088274147116199,0.0035966302522788,196
"329","PICKAWAY",2020-01-25,0.10239549789645,0.0034165109744449,250
"330","PIKE",2020-01-25,0.10406370579509,0.0047035659284013,154
"331","PORTAGE",2020-01-25,0.0999103814271,0.001985100207621,707
"332","PREBLE",2020-01-25,0.11909269795371,0.0037624104953222,238
"333","PUTNAM",2020-01-25,0.10657112942309,0.0040641557910709,189
"334","RICHLAND",2020-01-25,0.091127399012168,0.0021435210975373,665
"335","ROSS",2020-01-25,0.098876656489982,0.0028857936996931,434
"336","SANDUSKY",2020-01-25,0.091680431630734,0.0027598008900361,413
